,Unnamed: 0,old_ind,Hotel_Name,Average_Score,key
134,134,48807,Sofitel Paris Arc De Triomphe,8.8,"[u'location', u'room', u'staff']"
135,135,49001,Hotel Mercure La Sorbonne Saint Germain des Pr s,8.3,"[u'location', u'staff']"
136,136,49081,La Tremoille Paris,8.5,[u'location']
137,137,49157,Hotel Op ra Richepanse,9.2,"[u'great', u'hotel', u'location', u'room', u'staff']"
138,138,49399,H tel Duc De St Simon,9,[u'staff']
139,139,49514,Hotel Le Six,9.1,[u'staff']
140,140,49577,The Bailey s Hotel London,8.7,"[u'across', u'bar', u'beautiful', u'bed', u'breakfast', u'clean', u'comfortable', u'comfy', u'excellent', u'friendly', u'gloucester', u'good', u'great', u'helpful', u'hotel', u'location', u'london', u'lovely', u'next', u'nice', u'perfect', u'positive', u'restaurant', u'right', u'road', u'room', u'service', u'staff', u'station', u'stay', u'tube', u'walk', u'well']"
141,141,50595,London Marriott Hotel Park Lane,8.8,"[u'location', u'staff']"
142,142,50673,Best Western Premier Louvre Saint Honor ,8.1,"[u'location', u'room', u'staff']"
143,143,50878,Hotel Indigo London Tower Hill,9.2,"[u'bar', u'bed', u'clean', u'comfortable', u'excellent', u'free', u'friendly', u'good', u'great', u'helpful', u'hotel', u'location', u'lovely', u'nice', u'room', u'staff', u'tower']"
144,144,51224,Windermere Hotel,8.7,[u'staff']
145,145,51319,La Villa Maillot,8.9,"[u'room', u'staff']"
146,146,51396,H tel Madison by MH,8.8,[u'location']
147,147,51497,Mercure London Paddington Hotel,7.6,"[u'clean', u'excellent', u'friendly', u'good', u'great', u'helpful', u'hotel', u'location', u'next', u'paddington', u'positive', u'room', u'staff', u'station']"
148,148,52131,Hilton London Paddington,8.2,"[u'access', u'bed', u'breakfast', u'clean', u'comfortable', u'convenient', u'easy', u'excellent', u'express', u'friendly', u'good', u'great', u'heathrow', u'helpful', u'hotel', u'location', u'london', u'nice', u'paddington', u'perfect', u'positive', u'quiet', u'room', u'service', u'size', u'staff', u'station', u'stay', u'train']"
149,149,53298,London Marriott Hotel Kensington,8,"[u'location', u'room', u'staff']"
150,150,53487,Kensington House Hotel,8.2,"[u'breakfast', u'friendly', u'good', u'great', u'helpful', u'hotel', u'location', u'room', u'staff']"
151,151,53756,Charlotte Street Hotel,9.5,"[u'hotel', u'room', u'staff']"
152,152,53897,The Goring,9.4,"[u'service', u'staff']"
153,153,53999,Novotel Paris 14 Porte d Orl ans,8.3,[]
154,154,54026,The Pelham Starhotels Collezione,8.6,"[u'bed', u'friendly', u'great', u'hotel', u'location', u'room', u'staff']"
155,155,54303,The Montague On The Gardens,9.3,"[u'bed', u'breakfast', u'comfortable', u'excellent', u'friendly', u'great', u'helpful', u'hotel', u'location', u'lovely', u'room', u'service', u'staff', u'stay']"
156,156,54717,Ritz Paris,9.8,[]
157,157,54745,Hotel Les Rives de Notre Dame,8.6,"[u'helpful', u'hotel', u'location', u'staff']"
158,158,54817,Sofitel Paris Le Faubourg,8.5,"[u'location', u'staff']"
159,159,54954,Bassano,8.3,"[u'location', u'room', u'staff']"
160,160,55054,Best Western Premier Le Swann,8.3,"[u'good', u'location', u'room', u'staff']"
